Search_Keyword_for_job,URL,Job_Posted_Date,Position,Company,Job_Location,Job_Location_Type,Salary_Range,Job_Type,Job_Description
Data Engineer,https://indeed.com/viewjob?jk=db734756f1e181b6,7/25/2023,(USA) Senior Data Engineer - Data Ventures,Walmart,Dallas  TX,Hybrid remote,,,
Data Engineer,https://indeed.com/viewjob?jk=7d4561fcfe012bfc,7/23/2023,Data Engineer (Customer Data Art),Zions Bancorporation,Midvale  UT 84047,Hybrid remote,,,Zions Bancorporation’s Enterprise Technology and Operations (ETO) team is transforming what it means to work for a financial institution. With a commitment to technology and innovation  we have been providing our community  clients and colleagues the best experience possible for over 150 years. Help us transform our workforce of the future  today.  As a Data Engineer   you’ll provide your talents in contributing to the success of the Zions team by delivering all aspects of the software development lifecycle  including design  coding  integration testing  deployment  operations support  and documentation using Agile methodologies. Also  able to work independently  collaborate with cross-functional teams on technical understanding  handle multiple concurrent projects  with an ability to prioritize and manage projects effectively with changing priorities.   Partner with architects  engineers  information analysts  business  and technology stakeholders for developing and deploying enterprise grade platforms that enable data-driven solutions. Enthusiasm and strong desire to learn and grow within the organization. Demonstrate strong analytical  organizational  and problem-solving skills. Strong focus on long-term strategy  application stability  refactoring  and re-usability. Analyzes and designs technical solutions to address business needs. Develops  tests  and modifies software to improve efficiency of data platforms and applications. Identifies  investigates  and proposes solutions to technical problems. Coordinate with data operations teams to deploy changes into production. Serve in the goalie rotation to support Test  QA  and Production environments. Other duties as assigned   3+ years of experience in programming languages like Python  orchestration tools and processes. Exposure in RDD’s with Python/Scala using Spark framework. 4+ years of experience in ETL (IBM Datastage preferred)  SQL  UNIX/Linux scripting  and Big Data distributed systems. Extensive experience in data migration  data analysis  data transformations  conversion  interface  large volume data loading (ETL techniques)  database modeling  and performance SQL tuning. Experience in building ETL pipelines using Python pandas Experience working with cloud or on-prem Big Data/MPP analytics platform like Google BigQuery  Azure Data Warehouse  or similar Experience in leveraging database tools to develop DDL scripts  stored procedures  and functions to create and alter database objects. Experience working with Greenplum  Oracle  SQL Server  DB2  Teradata  Hive and delimited text files would be helpful. Requires a Bachelor's in Computer Science  Computer Engineering  or related field. A combination of education and experience may meet qualifications.   Experience with designing and implementing real-time ETL pipelines Experience with data pipeline automation and CI/CD tools like Jenkins Hands on experiences with Git version control processes  data streaming technologies such as Kafka  and unstructured data handling preferred .   This position has a hybrid work from home schedule with a minimum of three days per week in the office at the new Zions Technology Center in Midvale  UT.  The Zions Technology Center is a 400 000-square-foot technology campus in Midvale  Utah. Located on the former Sharon Steel Mill superfund site  the sustainably built campus will be the company’s primary technology and operations center. This modern and environmentally friendly technology center will enable Zions to continue to compete for the best technology talent in the state while providing team members with an exceptional work environment with features such as:  Electric vehicle charging stations and close proximity to Historic Gardner Village UTA TRAX station. At least 75% of the building is powered by on-site renewable solar energy. Access to outdoor recreation  parks  trails  shareable bikes and locker rooms. Large modern cafe with a healthy and diverse menu. Healthy indoor environment with ample natural light and fresh air. LEED-certified sustainable building that features include the use of low VOC-emitting construction materials.   Medical  Dental and Vision Insurance - START DAY ONE! Life and Disability Insurance  Paid Parental Leave and Adoption Assistance Health Savings (HSA)  Flexible Spending (FSA) and dependent care accounts Paid Training  Paid Time Off (PTO) and 11 Paid Federal Holidays 401(k) plan with company match  Profit Sharing  competitive compensation in line with work experience Mental health benefits including coaching and therapy sessions Tuition Reimbursement for qualifying employees Employee Ambassador preferred banking products  Apply now if you have a passion for impactful outcomes  enjoy working collaboratively with co-workers  and want to make a difference for the clients and communities we serve.
Data Engineer,https://indeed.com/viewjob?jk=96813ffd532dfa87,7/25/2023,Sr. Data Engineer,Ascension,Remote,,,,"   Ascension Information Services is one of the nation’s largest healthcare information technology services organizations.    We provide Ascension and its subsidiaries low-cost  high-value IT infrastructure and software application services that:    As a     you will be responsible for construction and development of ""large-scale cloud data processing systems"" The Data Engineer must have considerable expertise in data warehousing and the job requires proven coding expertise with Python  Java  SQL  and Spark languages. Must be able to implement enterprise cloud data architecture designs  and will work closely with the rest of the scrum team and internal business partners to identify  evaluate  design  and implement large scale data solutions  structured and unstructured  public and proprietary data. The Data Engineer will work iteratively on the cloud platform to design  develop and implement scalable  high performance solutions that offer measurable business value to customers.       Education:    No additional preferences.    #ascensiontechnologies    #LI-remote    When you join Ascension  you join a team of over 150 000 individuals across the country committed to a Mission of serving others and providing compassionate  personalized care to all. Our inclusive culture  continuing education programs  career coaches and benefit offerings are just a few of the resources and tools that team members can use to create a rewarding career path. In fact  Ascension spent nearly $46 million in tuition assistance alone to support associate growth and development. If you are looking for a career where you can grow and make a difference in your community  we invite you to join our team today.    Ascension will provide equal employment opportunities (EEO) to all associates and applicants for employment regardless of race  color  religion  national origin  citizenship  gender  sexual orientation  gender identification or expression  age  disability  marital status  amnesty  genetic information  carrier status or any other legally protected status or status as a covered veteran in accordance with applicable federal  state and local laws.    For further information  view the EEO Know Your Rights (English) poster or EEO Know Your Rights (Spanish) poster.    Pay Non-Discrimination Notice    Please note that Ascension will make an offer of employment only to individuals who have applied for a position using our official application. Be on alert for possible fraudulent offers of employment. Ascension will not solicit money or banking information from applicants.    This employer participates in the Electronic Employment Verification Program. Please click the E-Verify link below for more information.      E-Verify "
Data Engineer,https://indeed.com/viewjob?jk=32bfd6404cb765a6,7/23/2023,Senior Data Engineer,U.S. Bank National Association,Irvine  CA 92604,,$99 365 - $128 590 a year,Full-time,
Data Engineer,https://indeed.com/viewjob?jk=9f39e4470827c153,7/24/2023,Data Center Cable Infrastructure Engineer   DCC Communities,Amazon Data Services  Inc.,Lithia Springs  GA,,Estimated $80.6K - $102K a year,Full-time, Amazon Web Services (AWS) is looking for an Infrastructure Delivery Install Technician to join our growing team within infrastructure operations. This Engineer is the go-to for Network and Server Capacity expansion projects. This person is involved with installation and troubleshooting of structured cabling  management of infrastructure inventory at multiple levels  physical installation of network and server racks and/or devices and management of data center services vendors. This person is also the prime go-to for project managers and site management to ensure expansion projects are completed on time and meet Amazon Deadlines.  You will work in a dynamic environment to drive the stability and sustainability of our next-generation networks and assist in the development of innovative ways to automate and scale our network.  To be successful in this role you should possess technical aptitude  written and oral communications skills and the ability to deal effectively with people in a wide variety of situations. In addition  you must possess strong analytical skills with demonstrated problem solving ability. You will be able to leverage your experience exercising high levels of initiative  judgment  and diplomacy.  Key job responsibilities  A day in the life  About the team Here at AWS  we embrace our differences. We are committed to furthering our culture of inclusion. We have ten employee-led affinity groups  reaching 40 000 employees in over 190 chapters globally. We have innovative benefit offerings  and we host annual and ongoing learning experiences  including our Conversations on Race and Ethnicity (CORE) and AmazeCon (gender diversity) conferences. Amazon’s culture of inclusion is reinforced within our 16 Leadership Principles  which remind team members to seek diverse perspectives  learn and be curious  and earn trust.  We are open to hiring candidates to work out of one of the following locations:  Lithia Springs  GA  USA   Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race  national origin  gender  gender identity  sexual orientation  protected veteran status  disability  age  or other legally protected status. For individuals with disabilities who would like to request an accommodation  please visit https://www.amazon.jobs/en/disability/us.
Data Engineer,https://indeed.com/viewjob?jk=8d19cb78ad670603,7/23/2023,Experienced Configuration & Data Management Engineer,BOEING,Berkeley  MO,,Estimated $80.6K - $102K a year,Full-time,
Data Engineer,https://indeed.com/viewjob?jk=6469ed5ec80855f9,7/25/2023,Voice Data Engineer,Leidos,Camp Springs  MD 20746,,$54 600 - $113 400 a year,Full-time,  Leidos is a FORTUNE 500 company bringing a mix of innovative technology and sector expertise to customers in the national security  engineering  and the health industries. At Leidos  we deliver innovative solutions through the efforts of our diverse and talented people who are dedicated to our customers’ success. We empower our teams  contribute to our communities  and operate sustainable. Everything we do is built on a commitment to do the right thing for our customers  our people  and our community. Our Mission  Vision  and Values guide the way we do business. Leidos is hiring a Voice Data Engineer to work in the Tech Control Facility. The job location will be primarily at Joint Base Andrews (JBA); however  some work may require work at Joint Base Anacostia-BollingJoint Base Andrews (JBAB). If this sounds like the kind of environment where you can thrive  keep reading! Leidos Defense Group provides a diverse portfolio of systems  solutions  and services covering land  sea  air  space  and cyberspace for customers worldwide. Solutions for Defense include enterprise and mission IT  large-scale intelligence systems  command and control  geospatial and data analytics  cybersecurity  logistics  training  and intelligence analysis and operations support. Requires an active Secret clearance with the ability to obtain a TS/SCI. The Leidos pay range for this job level is a general guideline only and not a guarantee of compensation or salary. Additional factors considered in extending an offer include (but are not limited to) responsibilities of the job  education  experience  knowledge  skills  and abilities  as well as internal equity  alignment with market data  applicable bargaining agreement (if any)  or other law.
Data Engineer,https://indeed.com/viewjob?jk=fc9f4d2572c45469,7/23/2023,Data Loss Prevention Engineer III,Comerica Bank,Auburn Hills  MI 48326,,,, The Engineer role will work with limited supervision and will be responsible for deploying  developing  maintaining  operating and/or implementing new systems  in partnership with business clients through integration or the dev/ops model depending on the maturity of the organization and/or product. This role will help automate and streamline operations and processes. 
Data Engineer,https://indeed.com/viewjob?jk=ee6aad745ccfedf6,7/25/2023,Test Engineer  E-2D Data Link,Imagine One Technology & Management  Ltd.,46660 Corporate Dr  Lexington Park  MD 20653,,,, 
Data Engineer,https://indeed.com/viewjob?jk=a90daebb6bb008e8,7/23/2023,Principal Data Engineer,Citizens,Johnston  RI 02919,,,,
Data Engineer,https://indeed.com/viewjob?jk=fb119b72a6d32db0,7/25/2023,Senior SQL Data Quality Engineer,United Therapeutics,Research Triangle Park  NC,,Estimated $74.7K - $94.6K a year,Full-time,
Data Engineer,https://indeed.com/viewjob?jk=40247a4a8b5f474d,7/23/2023,AIML - Senior Software Engineer  Data & ML Innovations,Apple,Cupertino  CA,,Estimated $74.7K - $94.6K a year,Full-time,              
Data Engineer,https://indeed.com/viewjob?jk=7a42ef7e00f9057a,7/23/2023,Sr. Data Infrastructure Engineer,Rivian,607 Hansen Way  Palo Alto  CA 94304,,$163 000 - $188 000 a year,Full-time,   Rivian is on a mission to keep the world adventurous forever. This goes for the emissions-free Electric Adventure Vehicles we build  and the curious  courageous souls we seek to attract.    As a company  we constantly challenge what’s possible  never simply accepting what has always been done. We reframe old problems  seek new solutions and operate comfortably in areas that are unknown. Our backgrounds are diverse  but our team shares a love of the outdoors and a desire to protect it for future generations.    As a company  we constantly challenge what’s possible  never simply accepting what has always been done. We reframe old problems  seek new solutions and operate comfortably in areas that are unknown. Our backgrounds are diverse  but our team shares a love of the outdoors and a desire to protect it for future generations.    This is a Data Infrastructure engineer position on the Rivian Enterprise Data Services team    The goal of the Rivian Enterprise Data Services team is to enable timely  effective and safe sharing of data to multiple engineering  operations and business teams at Rivian for building world class data products    Salary Range/Hourly Rate for California Based Applicants: 163K- 188K/ year (actual compensation will be determined based on experience  location  and other factors permitted by law).      Benefits Summary: Rivian provides robust medical/Rx  dental and vision insurance packages for full-time employees  their spouse or domestic partner  and children up to age 26. Coverage is effective on the first day of employment  and Rivian covers most of the premiums.    Rivian is an equal opportunity employer and complies with all applicable federal  state  and local fair employment practices laws. All qualified applicants will receive consideration for employment without regard to race  color  religion  national origin  ancestry  sex  sexual orientation  gender  gender expression  gender identity  genetic information or characteristics  physical or mental disability  marital/domestic partner status  age  military/veteran status  medical condition  or any other characteristic protected by law.    Rivian is committed to ensuring that our hiring process is accessible for persons with disabilities. If you have a disability or limitation  such as those covered by the Americans with Disabilities Act  that requires accommodations to assist you in the search and application process  please email us at candidateaccommodations@rivian.com.    Rivian may collect  use and disclose your personal information or personal data (within the meaning of the applicable data protection laws) when you apply for employment and/or participate in our recruitment processes (“Candidate Personal Data”). This data includes contact  demographic  communications  educational  professional  employment  social media/website  network/device  recruiting system usage/interaction  security and preference information. Rivian may use your Candidate Personal Data for the purposes of (i) tracking interactions with our recruiting system; (ii) carrying out  analyzing and improving our application and recruitment process  including assessing you and your application and conducting employment  background and reference checks; (iii) establishing an employment relationship or entering into an employment contract with you; (iv) complying with our legal  regulatory and corporate governance obligations; (v) recordkeeping; (vi) ensuring network and information security and preventing fraud; and (vii) as otherwise required or permitted by applicable law.    Rivian may share your Candidate Personal Data with (i) internal personnel who have a need to know such information in order to perform their duties  including individuals on our People Team  Finance  Legal  and the team(s) with the position(s) for which you are applying; (ii) Rivian affiliates; and (iii) Rivian’s service providers  including providers of background checks  staffing services  and cloud services.    Rivian may transfer or store internationally your Candidate Personal Data  including to or in the United States  Canada  the United Kingdom  and the European Union and in the cloud  and this data may be subject to the laws and accessible to the courts  law enforcement and national security authorities of such jurisdictions.    
Data Engineer,https://indeed.com/viewjob?jk=78afd6ee4dc0d9b2,7/24/2023,Lead Software Engineer-Cloud and Big Data,JPMorgan Chase & Co,Jersey City  NJ 07310,,$137 750 - $200 000 a year,Full-time, We have an opportunity to impact your career and provide an adventure where you can push the limits of what's possible. As a Lead Software Engineer at JPMorgan Chase within the Corporate Sector   Enterprise Technology division  you are an integral part of an agile team that works to enhance  build  and deliver trusted market-leading technology products in a secure  stable  and scalable way. As a core technical contributor  you are responsible for conducting critical technology solutions across multiple technical areas within various business functions in support of the firm’s business objectives. 
Data Engineer,https://indeed.com/viewjob?jk=13106a8cb851ab31,7/25/2023,Project Engineer - Data Center Construction,Cupertino Electric  Inc.,Kansas City  KS,,$65 000 - $85 000 a year,Full-time,Project Engineer Project ManagerKansas City Area$65 000 to $85 000 Final determination of a successful candidate’s starting pay will vary based on a number of factors  including market location and may vary depending on job-related knowledge  skills  education and experience. The pay scale listed for this position is generally for candidates that meet the specified qualifications and requirements listed on this specific job description. We provide a competitive compensation package that recognizes your experience  credentials  and education alongside a robust benefits program to meet your needs. Our compensation reflects the cost of labor across several US geographic markets. For nearly 70 years  Cupertino Electric  Inc. (CEI) has been powered by people who’ve built a reputation for delivering high-profile  complex projects. Real  tangible things that alter the landscape and improve lives. But even more than that  we’ve built a reputation for integrity. We’re problem solvers and innovation seekers. We’re team players and safety fanatics. And we always—always—do the right thing. Even when no one is looking. Because what we do here is important  but how we do it is everything. We build mission-critical data centers throughout the U.S. to ensure crucial information accessed by millions of people is always available and secure. For two decades  CEI has designed  installed and commissioned more than 11.5 million square feet of data center space totaling $2.3 billion worth of electrical systems. We’re seeking a Project Engineer ready to be on the front lines of a project-giving daily support to the field  project management  and customer teams. Our Project Engineers (PE) are vital in keeping our processes moving along and assists in the execution of project plans. This role will be responsible for specific activities such as coordinating material onsite delivery dates  maintaining RFI  submittals  and change order logs  and will serve as a key point of contact for internal customers. You are willing and excited to learn—with a continuous focus on cultivating a growth mindset. You bring a wide range of skills from being organized to communicating through various channels and collaborating with your team members. You are comfortable taking initiative and ownership of your work. You are not afraid to throw on a pair of boots and your protective personal equipment (PPE)—safety first! At Cupertino Electric you’ll be on a career development path to project management. You’ll work directly for a project manager or project executive on a team that partners with field  engineering  and design teams. It’s ok if you don’t have a deep understanding of electrical construction  just be ready to learn and get fired up. You'll have the opportunity to soak up knowledge from everyone you work with – from the journeyman and general foreman to the project team assigning daily tasks. In addition to on-the-job experience and mentoring from your peers  you’ll attend vendor off sites  training classes  and other learning opportunities. High School Diploma or GED required. Bachelor’s Degree in Construction Management  Business  Engineering  or similar preferred.None required.Zero (0) years of construction or related experience required. Two (2) years of construction or related experience preferred.Valid state-issued driver’s license and satisfactory driving record.
Data Engineer,https://indeed.com/viewjob?jk=5c3eef1bc062d11c,7/25/2023,Data Engineer,MARKETview,Richmond  VA,,Estimated $100K - $127K a year,Full-time,MARKETview Education Technology is seeking driven data engineering developers to join us as we build and manage the data infrastructure necessary to make higher education a more data-informed industry. These individuals will be critical contributors to a fast-growing  early-stage education technology business and will have the unique benefit of joining a supportive team of experienced professionals on the ground level.Individuals will support and maintain complex data storage systems and will be responsible for all aspects of development  performance tuning  and monitoring.The MARKETview team is united by a common passion to increase higher education access while improving the performance of colleges and universities and the educational outcomes for students and families. This is the spirit that drives every client partner relationship  as we serve the mission of each with an unwavering commitment to their goals and success. We are looking for equally passionate team members with a similar disposition and willingness to put the success of others – partners and teammates – before their own. If this is you  you'll fit right in. Full-time  on-site: Richmond  VAMARKETview Education Technology is an equal opportunity employer. We are committed to building a diverse and inclusive environment for our employees and do not discriminate on the basis of any status protected under federal  state  or local law.
Data Engineer,https://indeed.com/viewjob?jk=34e7a6313b4be3e6,7/25/2023,Data Engineer,Catalytic Data Science,Boston  MA,,Estimated $115K - $146K a year,Full-time,
Data Engineer,https://indeed.com/viewjob?jk=950ea7f480770765,7/24/2023,Data Engineer (Remote),Gray Digital,Remote,,Estimated $115K - $146K a year,Full-time," Gray is a human-centered digital services company with a mission to transform critical government services using design and technology. We partner with government agencies to deliver digital solutions that are purposeful  trustworthy  and meet the needs of millions of Americans. We're looking for the most tenacious and mission-obsessed team members committed to nurturing a people-first culture and reimagining how the government serves its citizens. Our Data Engineer will work on a cross-functional team of engineers  analysts  researchers and product managers directly with the State of Colorado to modernize and improve their internal tools. As a key member of the team  you'll contribute directly to impactful digital services transformation that empowers government agencies and civil servants to better serve the American people by delivering a best-in-class user experience. . You are a team player who knows how to collaborate with many different teams and stakeholders  and prevent technical bottlenecks. You are a self-starter who never stops learning and helps their team perform at its best.  Do you strive to do meaningful work with a company that cares about its people's well-being? In that case  To deliver toward these outcomes  the Data Engineer will: Gray is an experienced team of dreamers  doers  and change-makers brought together by a shared commitment to doing work that matters  solving big problems  and upholding Gray's mission and values in our daily interactions. While our headquarters is in Boulder  CO (recently named the best place to live by U.S. News)  We care about the happiness of our people. We offer an industry best benefits package and cultivate an environment of empowerment  autonomy with accountability  and a commitment to a healthy work-life balance. Join our team and help defend our vision to deliver meaningful work and a people-first culture. """"Our mission is bold  audacious  and there's a lot on the line. It's a significant career move  and we appreciate the courage and passion that go into considering us. We look forward to hearing from you Gray is a human-centered digital services company using design and technology to transform government services. We deploy highly-efficient  cross-functional digital service teams to empower government agencies and civil servants to better serve the American people. These multi-disciplinary groups leverage agile software development  DevOps  and human-centered design to  Founded by technologists from the White House's U.S. Digital Service (USDS)  Gray has experience at the highest levels of government  academia  and the commercial sector. Our executive leadership and advisory board have diverse backgrounds from a wide range of organizations  including Google  Deloitte  The White House  The U.S. Military Academy at West Point  Airbnb  Duke University  and more. Our team members have created and sold tech startups  led COVID 19 front-line operations  served tours of civic service to reimagine government in the digital era  and built some of the most innovative and well-loved technology products on earth. Leveraging our unique blend of government  academia  and commercial expertise  we work closely with our partners to solve their most pressing technical challenges. The Gray team is brought together by a shared commitment and unconventional approach to untangle and redesign mission-critical government services. Whether we're improving access to Veterans' disability benefits  building sensors to save lives in war-torn Syria  or developing secure and equitable products for U.S. Citizenship and Immigration Services (USCIS)  we thrive on delivering digital solutions that are purposeful  trustworthy  and meet the needs of millions of people. At Gray  we've established a people-first strategy. That's why our culture encourages self-care  professional development  and nurturing a sense of ownership and responsibility. We believe that a happy team and intentional and mindful growth lead to the best outcomes for our partners and our business."
Data Engineer,https://indeed.com/viewjob?jk=f2602db92418f2c9,7/25/2023,Azure Data Engineer – Azure – REMOTE WORK 44577,PRIMUS Global Services  Inc,Austin  TX 78701,Remote,Estimated $104K - $132K a year,Contract,
Data Engineer,https://indeed.com/viewjob?jk=f2602db92418f2c9,7/25/2023,Sr. Azure Data Engineer(Databricks),PRIMUS Global Services  Inc,Austin  TX 78701,Remote,,,
Data Engineer,https://indeed.com/viewjob?jk=d642819620181374,7/25/2023,Data Engineer,Alert Innovation,Andover  MA,,,,                                    
Data Engineer,https://indeed.com/viewjob?jk=fe851f90456b5ac9,7/25/2023,Data Engineer,Garda Capital Partners,New York  NY,,,, Garda is looking to hire a to be a part of our Research and Technology (R&T) team based out of our New York office. The R&T team is responsible for all of the firm's applications & infrastructure including data management  analytics  portfolio and risk management. The selected candidate will be experienced in processing and manipulating data  developing scalable and performant data delivery systems  data APIs and platforms. This position requires proficiency and experience in software development using Python. While prior business knowledge is not mandatory  capital markets related experience will be a plus.This role is also eligible for other forms of compensation and benefits  such as a discretionary bonus  healthcare plan  401(k) matching program  etc. Within the range  individual pay is determined by work location and additional factors  such as job-related skills  experience  and relevant education.
Data Engineer,https://indeed.com/viewjob?jk=3dbf3d755e0d4de5,7/25/2023,Data Engineer,Land Intelligence Inc,Remote,,Estimated $97.8K - $124K a year,Full-time, Land Intelligence is a software technology company serving the commercial real estate industry. We focus on Land Development. We have been recognized as an industry technology leader in providing solutions on a national scale. Our team are visionaries that see a better  faster  and more valuable way to research  finance  and trade land.   We are entrepreneurs first. Which means we manage the people  processes and product. We create new ways of doing things to drive value. We are builders and growth minded. Our leadership team has been recognized as a Best Places to work in the industry nationally. Our team drives for personal and professional development  as personal growth is instrumental to our success. Your learning will be supported by specialized in-house training programs and mentoring by the industry’s leading experts  many of whom are our investors and strategic partners.
Data Engineer,https://indeed.com/viewjob?jk=3dbf3d755e0d4de5,7/25/2023,Sr. Data/ML Engineer,Land Intelligence Inc,Remote,,,, Land Intelligence is a software technology company serving the commercial real estate industry. We focus on Land Development. We have been recognized as an industry technology leader in providing solutions on a national scale. Our team are visionaries that see a better  faster  and more valuable way to research  finance  and trade land.   We are entrepreneurs first. Which means we manage the people  processes and product. We create new ways of doing things to drive value. We are builders and growth minded. Our leadership team has been recognized as a Best Places to work in the industry nationally. Our team drives for personal and professional development  as personal growth is instrumental to our success. Your learning will be supported by specialized in-house training programs and mentoring by the industry’s leading experts  many of whom are our investors and strategic partners.
Data Engineer,https://indeed.com/viewjob?jk=3dbf3d755e0d4de5,7/25/2023,Machine Learning - Azure Data Engineer,Land Intelligence Inc,Remote,,,, Land Intelligence is a software technology company serving the commercial real estate industry. We focus on Land Development. We have been recognized as an industry technology leader in providing solutions on a national scale. Our team are visionaries that see a better  faster  and more valuable way to research  finance  and trade land.   We are entrepreneurs first. Which means we manage the people  processes and product. We create new ways of doing things to drive value. We are builders and growth minded. Our leadership team has been recognized as a Best Places to work in the industry nationally. Our team drives for personal and professional development  as personal growth is instrumental to our success. Your learning will be supported by specialized in-house training programs and mentoring by the industry’s leading experts  many of whom are our investors and strategic partners.
Data Engineer,https://indeed.com/viewjob?jk=6fa1e07aadfc88df,7/25/2023,Data Engineer,OTG Management,352 Park Avenue South  New York  NY 10010,,$100 000 - $110 000 a year,Full-time, Join OTG as the Data Engineer – FLO Solutions now and drive a new type of hospitality. Explore career opportunities in a unique hospitality environment with some of the industry's best compensation and benefits  including PTO  Healthcare  and a competitive 401k match.  WHAT IS OTG? OTG has revolutionized the hospitality industry by pushing the boundaries of excellence. With more than 300 in-terminal dining and retail locations across 11 airports  OTG  and its 5 000+ Crewmembers serve millions of travelers each year.  WHY OTG? By joining our team  you’ll discover endless opportunities to explore  learn and realize your greatest potential in some of the most exciting hospitality environments around. Our people drive our experiences  so we offer our crewmembers some of the best compensation and benefits in the industry. We transform airport experiences. You drive it.  ROLE AND RESPONSIBILITIES   The Data Engineer – FLO Solutions will be directly responsible for developing  integrating  and maintaining all data pipelines and data consumption streams in OTG data platforms  and will be accountable for the on-time  on-budget delivery of software to support the OTG product roadmap. We focus on utilizing our data to provide business value. This is an exciting opportunity because of the wealth of data available and the countless ways in which it can be applied. The role will own data science projects  such as a recommendation engine  from end to end.    QUALIFICATIONS AND REQUIREMENTS   $100 000 - $110 000 per year  OTG Concessions Management  LLC and its subsidiaries and affiliates are proud to be an equal-opportunity workplace and employer. We are committed to equal employment opportunity regardless of race  color  ancestry  religion  sex  national origin  sexual orientation  age  citizenship  marital status  disability status  gender identity  veteran status  or any other basis protected by law.
Data Engineer,https://indeed.com/viewjob?jk=6fa1e07aadfc88df,7/25/2023,Data Engineer,OTG Management,352 Park Avenue South  New York  NY 10010,,Estimated $62.3K - $78.8K a year,Full-time, Join OTG as the Data Engineer – FLO Solutions now and drive a new type of hospitality. Explore career opportunities in a unique hospitality environment with some of the industry's best compensation and benefits  including PTO  Healthcare  and a competitive 401k match.  WHAT IS OTG? OTG has revolutionized the hospitality industry by pushing the boundaries of excellence. With more than 300 in-terminal dining and retail locations across 11 airports  OTG  and its 5 000+ Crewmembers serve millions of travelers each year.  WHY OTG? By joining our team  you’ll discover endless opportunities to explore  learn and realize your greatest potential in some of the most exciting hospitality environments around. Our people drive our experiences  so we offer our crewmembers some of the best compensation and benefits in the industry. We transform airport experiences. You drive it.  ROLE AND RESPONSIBILITIES   The Data Engineer – FLO Solutions will be directly responsible for developing  integrating  and maintaining all data pipelines and data consumption streams in OTG data platforms  and will be accountable for the on-time  on-budget delivery of software to support the OTG product roadmap. We focus on utilizing our data to provide business value. This is an exciting opportunity because of the wealth of data available and the countless ways in which it can be applied. The role will own data science projects  such as a recommendation engine  from end to end.    QUALIFICATIONS AND REQUIREMENTS   $100 000 - $110 000 per year  OTG Concessions Management  LLC and its subsidiaries and affiliates are proud to be an equal-opportunity workplace and employer. We are committed to equal employment opportunity regardless of race  color  ancestry  religion  sex  national origin  sexual orientation  age  citizenship  marital status  disability status  gender identity  veteran status  or any other basis protected by law.
Data Engineer,https://indeed.com/viewjob?jk=3183ae5c8d9fd5a3,7/25/2023,Data Engineer,ACE Scholarships,5251 Dtc Pkwy  Denver  CO 80111,Hybrid remote,$90 000 - $110 000 a year,Full-time,Data Engineer ACE is a 501(c)(3) non-profit  founded in 2000 in Denver  Colorado  to provide low-income children with equal access to quality K-12 private schools through partial scholarship support. Over the past 22 years  ACE has provided more than 50 000 scholarships worth over $138 million. This school year  ACE is serving approximately 10 500 children Arkansas  Colorado  Kansas  Louisiana  Missouri  Montana  New Mexico  Texas  Utah  and Wyoming  and is actively pursuing other expansion opportunities with support of a national funding partner. For more information visit the ACE website at www.acescholarships.org.is to provide children of lower-income families with scholarships to private schools in grades K-12  and to advocate for expanded school choice.Our founding principles are the foundation of ACE and our North Star. We honor ACE’s founders by remaining committed to these principles  and we passionately advocate for the Mission and Vision these principles support.We embrace personal responsibility by taking ownership of our work and focusing on results. We expect both to give and to receive honest feedback. We know ideas matter. We prefer the risks and rewards the come with creativity  to the certainty that attends stagnation.We position ourselves to take advantage of opportunities  embracing strategic and operational change when it makes our work more impactful.We believe our best days are ahead  and we embrace a forward-thinking mindset. We will make mistakes  but we will remain cheerful in the face of adversity and give people the benefit of the doubt.We value everyone on our team  respect differences and trust one another. This requires courage and strength  as it involves celebrating and giving our undivided attention to others. 1) The American public education system is flawed 2) Free enterprise and democracy work 3) Parents know the best education environment for their kids 4) Private schools offer great value and have open seats 5) All people are created equal and deserve an equal chance to pursue the American Dream A key component of the work of ACE Scholarships is rigorous evaluation of our programs and their impact on students  families  and communities. In addition to helping donors and supporters connect with the impact of their gifts  our evaluative work is extremely valuable in legal  legislative and policy work related to educational choice. Our Data Engineer is responsible for turning data into actionable insights that clearly demonstrate the value and impact of ACE Scholarships mission. In this role  you will use strong analytical skills  contextual business sense and a creative flair to develop analyses that further the mission of ACE Scholarships. This role derives analytic insights on the impact of educational choice and helps to deliver findings from those analyses to external and internal stakeholders. Prior to completing an analysis  this role will formulate and source the necessary datasets from internal tools and platforms as well as available third-party databases  rendering insights in compelling presentations and visualizations. This individual is also responsible for the design and ongoing maintenance of our data warehouse.  Competitive salary of $90 000 - $110 000 and eligible for annual performance bonuses  plus benefit package  including health  dental  vision  STD  LTD insurance; 401(k)  with corporate match; plus other benefits. To be considered for the position  please send your cover letter and resume through our career page found at www.acescholarships.org. The interview process will include application with resume and cover letter  zoom interview(s)  and final interview(s) at the ACE offices in Denver  CO. No phone calls please.
Data Engineer,https://indeed.com/viewjob?jk=42b3453204f3e0b3,7/23/2023,Expert Data Engineer (Remote),Experian,475 Anton Blvd  Costa Mesa  CA 92626,Remote,,,    
Data Engineer,https://indeed.com/viewjob?jk=42b3453204f3e0b3,7/25/2023,Data Engineer,Experian,475 Anton Blvd  Costa Mesa  CA 92626,Remote,,,    
